Nombre,Referencia,CODIGO,Rubro,COD,Familia,COD,Material,COD,Detalle,COD,Título,COD,Teñido,COD,Nombre Color,COD,Modelo,Medida,Texto,Talla,Otros
H-WME-0465,H-WME-0465-000-CRUDO,Y-W-ME-SW-4/6.5-G-000,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,GREIGE,G-,GREIGE,000,,,,,
H-WME-0465,H-WME-0465-000-CRUDO,Y-W-ME-SW-4/6.5-G-000,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,GREIGE,G-,GREIGE,000,,,,,
H-WME-0465,H-WME-0465-002-SHADOW (LICORICE),Y-W-ME-SW-4/6.5-A-002,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SHADOW (LICORICE),002,,,,,
H-WME-0465,H-WME-0465-004-STRAW,Y-W-ME-SW-4/6.5-A-004,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,STRAW,004,,,,,
H-WME-0465,H-WME-0465-014-CORNHUSK,Y-W-ME-SW-4/6.5-A-014,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CORNHUSK,014,,,,,
H-WME-0465,H-WME-0465-015-SEAL GREY,Y-W-ME-SW-4/6.5-A-015,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SEAL GREY,015,,,,,
H-WME-0465,H-WME-0465-01A-CABERNET,Y-W-ME-SW-4/6.5-A-01A,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CABERNET,01A,,,,,
H-WME-0465,H-WME-0465-01E-Brandied Apricot,Y-W-ME-SW-4/6.5-A-01E,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Brandied Apricot,01E,,,,,
H-WME-0465,H-WME-0465-0E5-Soft Cloud Space Dye,Y-W-ME-SW-4/6.5-A-0E5,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Soft Cloud Space Dye,0E5,,,,,
H-WME-0465,H-WME-0465-0E6-Pond Space Dye,Y-W-ME-SW-4/6.5-A-0E6,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Pond Space Dye,0E6,,,,,
H-WME-0465,H-WME-0465-0E8-Rocky River Space Dye,Y-W-ME-SW-4/6.5-A-0E8,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Rocky River Space Dye,0E8,,,,,
H-WME-0465,H-WME-0465-0E9-Autumn Branches Space Dye,Y-W-ME-SW-4/6.5-A-0E9,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Autumn Branches Space Dye,0E9,,,,,
H-WME-0465,H-WME-0465-0EA-Toasted Marshmallow Confetti,Y-W-ME-SW-4/6.5-A-0EA,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Toasted Marshmallow Confetti,0EA,,,,,
H-WME-0465,H-WME-0465-0EB-Speckled Egg Confetti,Y-W-ME-SW-4/6.5-A-0EB,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Speckled Egg Confetti,0EB,,,,,
